date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:28:51	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7baea5-239b%22	https://shahdabass.github.io/robots.txt		(from )
02:28:51	23747/23747	---M-Z	200	added ('OK')	text/html	etag:W/%2262312a56-5cc3%22	https://shahdabass.github.io/MyPortfolio/	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/index.html	(from )
02:28:51	159515/159515	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-26f1b%22	https://shahdabass.github.io/MyPortfolio/vendor/bootstrap/css/bootstrap.min.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/vendor/bootstrap/css/bootstrap.min.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:51	92208/92208	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-16830%22	https://shahdabass.github.io/MyPortfolio/vendor/icofont/icofont.min.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/vendor/icofont/icofont.min.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:51	61773/61773	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-f14d%22	https://shahdabass.github.io/MyPortfolio/vendor/boxicons/css/boxicons.min.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/vendor/boxicons/css/boxicons.min.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:52	19927/19927	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-4dd7%22	https://shahdabass.github.io/MyPortfolio/vendor/venobox/venobox.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/vendor/venobox/venobox.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:52	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-d17%22	https://shahdabass.github.io/MyPortfolio/vendor/owl.carousel/assets/owl.carousel.min.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:52	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-65c5%22	https://shahdabass.github.io/MyPortfolio/vendor/aos/aos.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/vendor/aos/aos.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:52	13652/13652	---M-Z	200	added ('OK')	text/css	etag:W/%2262312a56-3554%22	https://shahdabass.github.io/MyPortfolio/css/style.css	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/css/style.css	(from https://shahdabass.github.io/MyPortfolio/)
02:28:53	131782/131782	---M--	200	added ('OK')	image/jpeg	etag:%2262312a56-202c6%22	https://shahdabass.github.io/MyPortfolio/img/profile-img.jpg	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/profile-img.jpg	(from https://shahdabass.github.io/MyPortfolio/)
02:28:53	23747/23747	---M-Z	200	added ('OK')	text/html	etag:W/%2262312a56-5cc3%22	https://shahdabass.github.io/MyPortfolio/index.html	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/index-2.html	(from https://shahdabass.github.io/MyPortfolio/)
02:28:53	400927/400927	---M--	200	added ('OK')	image/png	etag:%2262312a56-61e1f%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-1.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-1.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:55	900243/900243	---M--	200	added ('OK')	image/png	etag:%2262312a56-dbc93%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-2.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-2.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:55	497557/497557	---M--	200	added ('OK')	image/png	etag:%2262312a56-79795%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-4.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-4.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:55	416735/416735	---M--	200	added ('OK')	image/png	etag:%2262312a56-65bdf%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-3.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-3.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:56	567939/567939	---M--	200	added ('OK')	image/png	etag:%2262312a56-8aa83%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-5.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-5.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:57	148115/148115	---M--	200	added ('OK')	image/png	etag:%2262312a56-24293%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-7.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-7.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:58	723658/723658	---M--	200	added ('OK')	image/png	etag:%2262312a56-b0aca%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-32.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-32.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:58	607186/607186	---M--	200	added ('OK')	image/png	etag:%2262312a56-943d2%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-6.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-6.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:58	182625/182625	---M--	200	added ('OK')	image/png	etag:%2262312a56-2c961%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-8.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-8.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:59	113611/113611	---M--	200	added ('OK')	image/png	etag:%2262312a56-1bbcb%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-10.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-10.png	(from https://shahdabass.github.io/MyPortfolio/)
02:28:59	737245/737245	---M--	200	added ('OK')	image/png	etag:%2262312a56-b3fdd%22	https://shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-31.png	C:/Users/hp/Desktop/youssef/portfolio/shahdabass.github.io/MyPortfolio/img/portfolio/portfolio-31.png	(from https://shahdabass.github.io/MyPortfolio/)
